Rank,Pokemon Name,URL
1,ハバタクカミ,https://sv.pokedb.tokyo/pokemon/show/0987-00?season=14&rule=0
2,カイリュー,https://sv.pokedb.tokyo/pokemon/show/0149-00?season=14&rule=0
3,オーガポン,https://sv.pokedb.tokyo/pokemon/show/1017-00?season=14&rule=0
4,サーフゴー,https://sv.pokedb.tokyo/pokemon/show/1000-00?season=14&rule=0
5,ウーラオス（れんげき）,https://sv.pokedb.tokyo/pokemon/show/0892-01?season=14&rule=0
6,ポリゴン２,https://sv.pokedb.tokyo/pokemon/show/0233-00?season=14&rule=0
7,パオジアン,https://sv.pokedb.tokyo/pokemon/show/1002-00?season=14&rule=0
8,ガチグマ（アカツキ）,https://sv.pokedb.tokyo/pokemon/show/0901-01?season=14&rule=0
9,ハッサム,https://sv.pokedb.tokyo/pokemon/show/0212-00?season=14&rule=0
10,ラティオス,https://sv.pokedb.tokyo/pokemon/show/0381-00?season=14&rule=0
11,アシレーヌ,https://sv.pokedb.tokyo/pokemon/show/0730-00?season=14&rule=0
12,ランドロス（れいじゅう）,https://sv.pokedb.tokyo/pokemon/show/0645-01?season=14&rule=0
13,ウーラオス（いちげき）,https://sv.pokedb.tokyo/pokemon/show/0892-00?season=14&rule=0
14,ウガツホムラ,https://sv.pokedb.tokyo/pokemon/show/1020-00?season=14&rule=0
15,ディンルー,https://sv.pokedb.tokyo/pokemon/show/1003-00?season=14&rule=0
16,ラグラージ,https://sv.pokedb.tokyo/pokemon/show/0260-00?season=14&rule=0
17,ブリジュラス,https://sv.pokedb.tokyo/pokemon/show/1018-00?season=14&rule=0
18,トドロクツキ,https://sv.pokedb.tokyo/pokemon/show/1005-00?season=14&rule=0
19,テツノツツミ,https://sv.pokedb.tokyo/pokemon/show/0991-00?season=14&rule=0
20,ジャローダ,https://sv.pokedb.tokyo/pokemon/show/0497-00?season=14&rule=0
21,ガオガエン,https://sv.pokedb.tokyo/pokemon/show/0727-00?season=14&rule=0
22,イーユイ,https://sv.pokedb.tokyo/pokemon/show/1004-00?season=14&rule=0
23,メタグロス,https://sv.pokedb.tokyo/pokemon/show/0376-00?season=14&rule=0
24,ラティアス,https://sv.pokedb.tokyo/pokemon/show/0380-00?season=14&rule=0
25,エンテイ,https://sv.pokedb.tokyo/pokemon/show/0244-00?season=14&rule=0
26,スイクン,https://sv.pokedb.tokyo/pokemon/show/0245-00?season=14&rule=0
27,キョジオーン,https://sv.pokedb.tokyo/pokemon/show/0934-00?season=14&rule=0
28,コノヨザル,https://sv.pokedb.tokyo/pokemon/show/0979-00?season=14&rule=0
29,ドリュウズ,https://sv.pokedb.tokyo/pokemon/show/0530-00?season=14&rule=0
30,カバルドン,https://sv.pokedb.tokyo/pokemon/show/0450-00?season=14&rule=0
31,キラフロル,https://sv.pokedb.tokyo/pokemon/show/0970-00?season=14&rule=0
32,キュウコン（アローラ）,https://sv.pokedb.tokyo/pokemon/show/0038-01?season=14&rule=0
33,マスカーニャ,https://sv.pokedb.tokyo/pokemon/show/0908-00?season=14&rule=0
34,ドヒドイデ,https://sv.pokedb.tokyo/pokemon/show/0748-00?season=14&rule=0
35,テツノドクガ,https://sv.pokedb.tokyo/pokemon/show/0994-00?season=14&rule=0
36,バシャーモ,https://sv.pokedb.tokyo/pokemon/show/0257-00?season=14&rule=0
37,コータス,https://sv.pokedb.tokyo/pokemon/show/0324-00?season=14&rule=0
38,ガブリアス,https://sv.pokedb.tokyo/pokemon/show/0445-00?season=14&rule=0
39,サンダー,https://sv.pokedb.tokyo/pokemon/show/0145-00?season=14&rule=0
40,タケルライコ,https://sv.pokedb.tokyo/pokemon/show/1021-00?season=14&rule=0
41,ペリッパー,https://sv.pokedb.tokyo/pokemon/show/0279-00?season=14&rule=0
42,イダイトウ,https://sv.pokedb.tokyo/pokemon/show/0902-00?season=14&rule=0
43,ヘイラッシャ,https://sv.pokedb.tokyo/pokemon/show/0977-00?season=14&rule=0
44,ヒードラン,https://sv.pokedb.tokyo/pokemon/show/0485-00?season=14&rule=0
45,ウネルミナモ,https://sv.pokedb.tokyo/pokemon/show/1009-00?season=14&rule=0
46,テツノカイナ,https://sv.pokedb.tokyo/pokemon/show/0992-00?season=14&rule=0
47,ドラパルト,https://sv.pokedb.tokyo/pokemon/show/0887-00?season=14&rule=0
48,ミミッキュ,https://sv.pokedb.tokyo/pokemon/show/0778-00?season=14&rule=0
49,テツノカシラ,https://sv.pokedb.tokyo/pokemon/show/1023-00?season=14&rule=0
50,キノガッサ,https://sv.pokedb.tokyo/pokemon/show/0286-00?season=14&rule=0
51,ドドゲザン,https://sv.pokedb.tokyo/pokemon/show/0983-00?season=14&rule=0
52,オニシズクモ,https://sv.pokedb.tokyo/pokemon/show/0752-00?season=14&rule=0
53,テツノイワオ,https://sv.pokedb.tokyo/pokemon/show/1022-00?season=14&rule=0
54,カミツオロチ,https://sv.pokedb.tokyo/pokemon/show/1019-00?season=14&rule=0
55,アーマーガア,https://sv.pokedb.tokyo/pokemon/show/0823-00?season=14&rule=0
56,マリルリ,https://sv.pokedb.tokyo/pokemon/show/0184-00?season=14&rule=0
57,ゴリランダー,https://sv.pokedb.tokyo/pokemon/show/0812-00?season=14&rule=0
58,オオニューラ,https://sv.pokedb.tokyo/pokemon/show/0903-00?season=14&rule=0
59,エルフーン,https://sv.pokedb.tokyo/pokemon/show/0547-00?season=14&rule=0
60,ジバコイル,https://sv.pokedb.tokyo/pokemon/show/0462-00?season=14&rule=0
61,セグレイブ,https://sv.pokedb.tokyo/pokemon/show/0998-00?season=14&rule=0
62,バンギラス,https://sv.pokedb.tokyo/pokemon/show/0248-00?season=14&rule=0
63,テツノブジン,https://sv.pokedb.tokyo/pokemon/show/1006-00?season=14&rule=0
64,ロトム（ウォッシュ）,https://sv.pokedb.tokyo/pokemon/show/0479-02?season=14&rule=0
65,ラウドボーン,https://sv.pokedb.tokyo/pokemon/show/0911-00?season=14&rule=0
66,エアームド,https://sv.pokedb.tokyo/pokemon/show/0227-00?season=14&rule=0
67,モロバレル,https://sv.pokedb.tokyo/pokemon/show/0591-00?season=14&rule=0
68,ヌメルゴン,https://sv.pokedb.tokyo/pokemon/show/0706-01?season=14&rule=0
69,ドオー,https://sv.pokedb.tokyo/pokemon/show/0980-00?season=14&rule=0
70,ゲッコウガ,https://sv.pokedb.tokyo/pokemon/show/0658-00?season=14&rule=0
71,クレセリア,https://sv.pokedb.tokyo/pokemon/show/0488-00?season=14&rule=0
72,ウルガモス,https://sv.pokedb.tokyo/pokemon/show/0637-00?season=14&rule=0
73,オーロンゲ,https://sv.pokedb.tokyo/pokemon/show/0861-00?season=14&rule=0
74,グライオン,https://sv.pokedb.tokyo/pokemon/show/0472-00?season=14&rule=0
75,サケブシッポ,https://sv.pokedb.tokyo/pokemon/show/0985-00?season=14&rule=0
76,バサギリ,https://sv.pokedb.tokyo/pokemon/show/0900-00?season=14&rule=0
77,ドサイドン,https://sv.pokedb.tokyo/pokemon/show/0464-00?season=14&rule=0
78,フシギバナ,https://sv.pokedb.tokyo/pokemon/show/0003-00?season=14&rule=0
79,キングドラ,https://sv.pokedb.tokyo/pokemon/show/0230-00?season=14&rule=0
80,ママンボウ,https://sv.pokedb.tokyo/pokemon/show/0594-00?season=14&rule=0
81,クエスパトラ,https://sv.pokedb.tokyo/pokemon/show/0956-00?season=14&rule=0
82,ハピナス,https://sv.pokedb.tokyo/pokemon/show/0242-00?season=14&rule=0
83,ブラッキー,https://sv.pokedb.tokyo/pokemon/show/0197-00?season=14&rule=0
